"dc.AccrualPeriodicity","dc.AccrualPolicy","dc.contributor.author","dc.contributor.other","dc.coverage.spatial","dc.coverage.temporal","dc.coverage.vigencia","dc.date.created","dc.date.issued","dc.date.validfinal","dc.date.validinici","dc.description","dc.description.LegislationChangedBy","dc.description.LegislationChanges","dc.description.abstract","dc.description.sponsorship","dc.description.tableofcontents","dc.description.version","dc.disposal","dc.format","dc.format.extent","dc.identifier.BG","dc.identifier.ab","dc.identifier.citation","dc.identifier.entitat","dc.identifier.isbn","dc.identifier.mandat","dc.identifier.uri","dc.language","dc.publisher","dc.relation","dc.relation.hasformat","dc.relation.haspart","dc.relation.hasversion","dc.relation.isbasedon","dc.relation.isbasisfor","dc.relation.isformatof","dc.relation.ispartof","dc.relation.isreferencedby","dc.relation.isreplacedby","dc.relation.isrequiredby","dc.relation.isversionof","dc.relation.references","dc.relation.replaces","dc.relation.requires","dc.relation.uri","dc.rights","dc.rights.accessrights","dc.rights.notes","dc.rights.rightsHolder","dc.rights.uri","dc.source","dc.subject","dc.subject.category","dc.subject.forma","dc.subject.programme","dc.title","dc.title.alternative","dc.type",
"","","Barcelona Activa, S.A. | Àrea d'Economia, Empresa i Ocupació","Servei d'Ocupació de Catalunya","Barcelona | Barcelona | Barcelona","","","2014","2014","","","Projecte de l'Ajuntament de Barcelona, amb el suport del Servei d'Ocupació de Catalunya, per promoure l'ocupació i la dinamització socioeconòmica de diferents barris de la ciutat","","","","","","","","application/pdf","1 p.","17593","","","societats mercantils","","","http://hdl.handle.net/11703/90052","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Integració social | Ocupació, Cerca d' | Social integration | Job hunting | Integración social | Búsqueda de empleo","Ocupació | Societat i benestar","monografies","Treball als barris 2014-2015 (Barcelona)","Treball als Barris: dispositius d'inserció sociolaboral: punts d'assessorament per la recerca de feina als barris","","text",
"","","Consell Econòmic i Social de Barcelona","","Barcelona | Barcelona | Barcelona","","","2011-05","2011","","","Forma part de la col·lecció: Quaderns del CESB","","","","","","","","application/pdf","269 p.","17657","","","consells","","","http://hdl.handle.net/11703/90308","cat","Consell Econòmic i Social de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Economia social | Sector terciari | Social economy | Service industries | Economía social | Sector servicios","Economia","monografies","","El Tercer Sector i l'Economia Social a Barcelona","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","","","","","","","","","application/pdf","3 p.","9255","","","societats mercantils","","","http://hdl.handle.net/11703/90973","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Indústries culturals | Creativitat en els negocis | Sector terciari | Cultural industries | Creative ability in business | Service industries | Industria cultural | Creatividad en las organizaciones | Sector servicios","Economia","monografies","","Càpsula de tendència sectorial: Indústries creatives: l'economia creativa: una indústria en creixement","","text",
"","","Institut de Cultura de Barcelona. Departament de Festes","","Barcelona | Barcelona | Barcelona","","","2009","2009","","","Forma part de la col·lecció: Material didàctic; 1","","","","","","","","application/pdf","24 p.","BESTHISBA","","","entitats públiques empresarials","","","http://hdl.handle.net/11703/91398","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Festes | Festes de la Mercè (Barcelona) | Bestiaris | Animals | Festivals | La Mercè (Barcelona) | Bestiaries | Animals | Fiestas | La Mercè (Barcelona) | Bestiarios | Animales","Cultura i oci","monografies","","Bestiari Històric de Barcelona","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","","","","","","","","","application/pdf","3 p.","9254","","","societats mercantils","","","http://hdl.handle.net/11703/90972","cat","Barcelona Activa, S.A.","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Automòbils | Producció | Automobiles | Production | Automóviles | Producción","Indústria","monografies","","Càpsula de tendència sectorial: Automoció: modularització de components","","text",
"","","Gabinet Tècnic de Programació","","Barcelona | Barcelona | Barcelona","1979-2009","","2009","2009","","","","","","","","Llistats de regidors des des 1979 fins el 2009, a les p. 87-94","","","application/pdf","95 p.","BARCTREANF","","","","","","http://hdl.handle.net/11703/91396","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Barris | Desenvolupament urbà | Neighborhood | Urban development | Barrios | Desarrollo urbano | Regidors | Concejales | City council members","Sector públic","monografies","","Barcelona 30 anys fent ciutat [2a ed.]","","text",
"","","Tornos Abogados, S.L.P. | Observatori de Drets Humans i Empreses Nord d'Àfrica i Orient Mitjà (ODHE) | Tornos Mas, Joaquim | Fernández de Losada Passols, Agustí | Calvete Moreno, Anna | Ambrós Biern, Joan","Institut Internacional per l'Acció Noviolenta (NOVACT) | SCI-Catalunya | Nexes Interculturals de Joves per Europa | Gerència de Presidència i Economia | Direcció de Serveis de Coordinació de Contractació Administrativa | Direcció de Cooperació Internacional, Solidaritat i Pau | Samson Estapé, Alys | Pérez Fargas, Marta | Tonon, Davide | Blanco López, Francisco | Sánchez Riqué, César | Gervilla Valladolid, David","Barcelona | Barcelona | Barcelona","","","2017","2017","","","","","","","","","","","application/pdf","64 p.","","","","associacions","9788469774694","","http://hdl.handle.net/11703/106299","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Contractes administratius | Adjudicació de contractes | Drets humans | Public contracts | Letting of contracts | Human rights | Contratos administrativos | Adjudicación administrativa | Derechos humanos","Sector públic | Societat i benestar","monografies","","Guia per a la protecció i la promoció dels drets humans en la contractació pública","","text",
"","","Agenda 21 BCN","","Barcelona | Barcelona | Barcelona","","","2011","2011","","","A la contraportada: Fem campanya per a la recollida orgànica","","","","","","","","application/pdf","4 p.","BAB_10953","","","","","","http://hdl.handle.net/11703/91336","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Reciclatge (Residus, etc.) | Recycling (Waste, etc.) | Reciclaje (Residuos, etc.)","Medi ambient","monografies","","Proposta d'activitats per a realitzar durant les setmanes que el centre educatiu rep l'exposició del Fem Campanya","","text",
"","","Institut Municipal d'Educació (Barcelona) | Sector de Via Pública","","Barcelona | Barcelona | Barcelona","","","2002","2002","","","","","","","","","","","application/pdf","36 p.","4552","","","organismes autònoms","","","http://hdl.handle.net/11703/90697","cat","Ajuntament de Barcelona. Institut d'Educació | Via Pública","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Alumnes | Mobilitat urbana | Students | Urban mobility | Alumnos | Movilidad urbana","Transport","monografies","Pacte per la Mobilitat (Barcelona)","El camí escolar","","text",
"","","Institut Municipal de Persones amb Discapacitat (Barcelona) | Institut Barcelona Esports","","Barcelona | Barcelona | Barcelona","","","2009","2009","","","","","","","","","","","application/pdf","18 p.","3000","","","organismes autònoms","","","http://hdl.handle.net/11703/90439","cat","Ajuntament de Barcelona. Institut Barcelona Esports | Institut Municipal de Persones amb Discapacitat","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Discapacitats | Esports per a discapacitats | Instal·lacions esportives | People with disabilities | Sports for people with disabilities | Sports facilities | Personas con discapacidad | Minusválidos-Deportes | Instalaciones deportivas","Esport","monografies","Programa Per un Esport Sense Barreres 2009 (Barcelona)","Programa per un esport sense barreres que promocioni la inclusió social de les persones amb discapacitat","","text",
"","","Direcció d'Immigració","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barris","","","2009","2009","","","Editat anteriorment amb el títol: Guia de recursos","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","44 p.","3712","","","","","","http://hdl.handle.net/11703/90568","cat | cas","Ajuntament de Barcelona","http://hdl.handle.net/11703/90567 | http://hdl.handle.net/11703/90754 | http://hdl.handle.net/11703/90570 | http://hdl.handle.net/11703/90755 | http://hdl.handle.net/11703/90571 | http://hdl.handle.net/11703/90569","","","","","","","","","","","http://hdl.handle.net/11703/90535","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Immigrants | Emigració i immigració | Immigrants | Emigration and immigration | Emigrantes | Emigración e inmigración","Societat i benestar","monografies","","Guia d'acollida de butxaca de Barcelona : Nou Barris [versió en català i castellà]","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2014","2014","","","","","","","","","","","application/pdf","7 p.","21642","","","societats mercantils","","","http://hdl.handle.net/11703/90087","cat | cas | eng","","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Centres de negocis | Barcelona Creixement | Centres de negocis | Business parks | Barcelona Creixement | Business parks | Parques empresariales | Barcelona Creixement | Parques empresariales","Economia","monografies","","Barcelona Growth Centre [versió en català, castellà i anglès]","","text",
"","","Parcs i Jardins de Barcelona, Institut Municipal","","Barcelona. Districte 7. Horta-Guinardó | Laberint, Parc (Barcelona) | Barcelona. District 7. Horta-Guinardó | Laberint, Park (Barcelona) | Barcelona. Distrito 7. Horta-Guinardó | Laberint, Parque (Barcelona)","","","2008","2008","","","","","","","","","","","application/pdf","14 p.","BAB_11014","","","entitats públiques empresarials","","","http://hdl.handle.net/11703/89943","cat","Ajuntament de Barcelona | Parcs i Jardins de Barcelona, Institut Municipal","","","","","","","","http://hdl.handle.net/11703/89944 | http://hdl.handle.net/11703/89941 | http://hdl.handle.net/11703/89942","","","","","","","","","Tots els drets reservats","openAccess","","","","","Parcs | Mitologia | Educació ambiental | Material didàctic | Parks | Mythology | Environmental education | Teaching materials | Parques | Mitología | Educación ambiental | Material didáctico","Medi ambient | Educació","monografies","","Els mites que amaga el parc del Laberint: Quadern dels alumnes","","text",
"","","Consell de l'Esport Escolar de Barcelona | Institut Barcelona Esports","","Barcelona | Barcelona | Barcelona","2014 | 2015","","2014","2014","","","","","","","","","","","application/pdf","86 p.","21599","","","organismes autònoms","","","http://hdl.handle.net/11703/90280","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Esports per a infants | Sports for children | Deportes para niños","Esport","monografies","","Esport dia a dia: document de programació esportiva en edat escolar 2014-2015: Pla Barcelona Esport en Edat Escolar PBE3","","text",
"","","Ajuntament de Barcelona","Fundació Privada Urbs i Territori Ildelfons Cerdà","Barcelona. Districte 2. Eixample | Barcelona. District 2. Eixample | Barcelona. Distrito 2. Eixample","2009 | 2010","","2009","2009","","","A la portada: és una iniciativa de: Ajuntament de Barcelona","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","88 p.","2992","","","","","","http://hdl.handle.net/11703/90437","cat","Centre de Cultura Contemporània de Barcelona (CCCB)","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Cerdà, Ildefons | Urbanisme | Cerdà, Ildefons | City planning | Cerdà, Ildefons | Urbanismo","Urbanisme i infraestructures","monografies","","Any Cerdà: juny 2009 - juny 2010","","text",
"","","Institut de Cultura de Barcelona | Ciudades y Gobiernos Locales Unidos","","Barcelona | Barcelona | Barcelona","","","2006","2006","","","Podeu consultar la versió en anglès a: http://hdl.handle.net/11703/111578 | Podeu consultar la versió en francès a: http://hdl.handle.net/11703/111579 | Podeu consultar la versió en búlgar a: http://hdl.handle.net/11703/111580 | Podeu consultar la versió en japonès a: http://hdl.handle.net/11703/111581 | Podeu consultar la versió en persa a: http://hdl.handle.net/11703/111582 | Podeu consultar la versió en serbi a: http://hdl.handle.net/11703/111583 | Podeu consultar la versió en ucraïnès a: http://hdl.handle.net/11703/111584","","","","","","","","application/pdf","9 p.","2913","","","entitats públiques empresarials","","","http://hdl.handle.net/11703/90424","cas","Ajuntament de Barcelona. Institut de Cultura | Ciudades y Gobiernos Locales Unidos","http://hdl.handle.net/11703/111578 | http://hdl.handle.net/11703/111579 | http://hdl.handle.net/11703/111580 | http://hdl.handle.net/11703/111581 | http://hdl.handle.net/11703/111582 | http://hdl.handle.net/11703/111583 | http://hdl.handle.net/11703/111584","","","","","","","","","","","","","","","","CC-BY","openAccess","","Institut de Cultura de Barcelona | Ciudades y Gobiernos Locales Unidos","http://creativecommons.org/licenses/by/4.0/deed.es","","Política cultural | Cultural policy | Política cultural","Cultura i oci","monografies","Agenda 21 de la cultura","Consejos sobre la implementación local de la Agenda 21 de la cultura","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2010","2010","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","241 p.","BAB_10891","","","","","","http://hdl.handle.net/11703/91329","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Inventaris de la vegetació | Jardins | Vegetation surveys | Gardens | Inventarios de la vegetación | Jardines","Medi ambient","monografies","","Llistat d'espècies vegetals dels jardins de la ciutat","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1945-12-07","1945","1950-05-13","1945-12-07","Aprovat per la ""Sección de Montepios y Mutualidades"" el 07-12-1945","Substituït pel 	Reglamento del Cuerpo de Serenos del Ayuntamiento de Barcelona [1950]  [http://hdl.handle.net/11703/96842]","","","Digitalitzat pel SEDAC","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","13 p.","7958","","","","","","http://hdl.handle.net/11703/91754","cas","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/96842","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Vigilants | Watchmen | Vigilantes jurados de seguridad","Seguretat","monografies | reglaments | documents digitalitzats","","Reglamento del Montepío y Asociación del Cuerpo de Serenos de Barcelona [1945]","","text",
"","","Turisme de Barcelona","","Barcelona | Barcelona | Barcelona","","","2014","2014","","","","","","","","","","Drets revisats. El document informa explícitament sobre la llicència CC o CopyLeft.","application/pdf","3 p.","","","","consorcis","","","http://hdl.handle.net/11703/98101","cas | eng | cat","Turisme de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Turisme de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Turisme | Estadístiques | Tourism | Statistics | Turismo | Estadísticas","Turisme","monografies","","Activitat turística ciutat i comarques de Barcelona 2013 [versió en català, castellà i anglès] | Actividad turística ciudad y comarcas de Barcelona 2013 [versió en català, castellà i anglès] | Tourism activity city and regions of Barcelona 2013 [versió en català, castellà i anglès]","","text",
"","","Institut Municipal d'Educació (Barcelona)","","Barcelona. Districte 7. Horta-Guinardó | Guinardó (Barcelona : Barri) | Brussel·les, Carrer (Barcelona) | Barcelona. District 7. Horta-Guinardó | Guinardó (Barcelona : Neighborhood) | Brussel·les, Street (Barcelona) | Barcelona. Distrito 7. Horta-Guinardó | Guinardó (Barcelona : Barrio) | Brussel·les, Calle (Barcelona)","2017","","2017","2017","","","","","","","","","","","application/pdf","1 p.","","","","","","","http://hdl.handle.net/11703/106507","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY-NC-ND","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by-nc-nd/4.0/deed.ca","","Planetari Municipal de Barcelona | Planetari Municipal de Barcelona | Astronomy | Planetari Municipal de Barcelona | Astronomía","Educació","monografies","","El cel del Guinardó : [programa]","","text",
"","","Àrea de Medi Ambient i Serveis Urbans","","Barcelona | Barcelona | Barcelona","","","2012","2012","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","11 p.","BAB_11645","","","","","","http://hdl.handle.net/11703/91365","cat","Ajuntament de Barcelona. Medi Ambient i Serveis Urbans","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Obres públiques | Fonts | Aigua | Public works | Fountains | Water | Obras públicas | Fuentes | Agua","Urbanisme i infraestructures","monografies","","Criteris tècnics generals per al subministrament i instal·lació de fonts públiques","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1932-04","1932","","","Podeu consultar la versió oficial publicada a la Gaseta Municipal de Barcelona a :  http://hdl.handle.net/11703/106634","","","","Digitalitzat pel SEDAC","","","","application/pdf","176 p.","6712","","","","","","http://hdl.handle.net/11703/96470","cas","Impremta de la Casa de Caritat","http://hdl.handle.net/11703/106634","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Ordenances municipals | Municipal ordinances | Ordenanzas municipales","Legislació i justícia","ordenances municipals | monografies | documents digitalitzats","","Ordenances municipals de la ciutat de Barcelona [1932] [ed. 1932]","Apèndix a les ordenances municipals de la Ciutat de Barcelona","text",
"","","Mohedano, Fabian","Àrea de Qualitat de Vida, Igualtat i Esports | Programa de Temps i Qualitat de Vida (Barcelona)","Barcelona | Barcelona | Barcelona","","","2012","2012","","","Forma part de la col·lecció: Dossiers del temps","","","","","","","","application/pdf","77 p.","17555","","","","","","http://hdl.handle.net/11703/90304","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","Ajuntament de Barcelona","","","Joventut | Organització del temps | Youth | Time management | Juventud | Organización del tiempo","Societat i benestar","monografies","","Joventut i temps: cap a una política utilitarista","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1991-09-27","1991","1999-01-15","1991-11-21","Podeu consultar la versió oficial a: http://hdl.handle.net/11703/97287 | Podeu consultar la versió en català a: http://hdl.handle.net/11703/91620","","","","Digitalitzat pel SEDAC","","","","application/pdf","19 p.","6432","","Publicada també a la Gaseta Municipal de Barcelona, núm. 1 (10-01-1992)","","8476094884","","http://hdl.handle.net/11703/91621","cas","Ajuntament de Barcelona | Institut Municipal de Serveis Funeraris (Barcelona)","http://hdl.handle.net/11703/97287 | http://hdl.handle.net/11703/91620","","","http://hdl.handle.net/11703/91619","","","Reproducció digital del document en suport original","","","http://hdl.handle.net/11703/89263 | http://hdl.handle.net/11703/89263","","","","http://hdl.handle.net/11703/91622","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Circulació urbana | Vianants | Urban traffic | Pedestrians | Circulación urbana | Peatones","Legislació i justícia | Transport","ordenances municipals | monografies | documents digitalitzats","","Ordenanza de circulación de peatones y vehículos [1991] [ed. 1991]","","text",
"","","Barcelona Activa, S.A.","","Barcelona | Barcelona | Barcelona","","","2013","2013","","","","","","","","","","","application/pdf","30 p.","13099","","","societats mercantils","","","http://hdl.handle.net/11703/91094","eng","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","L'Ajuntament de Barcelona no pot donar autorització sobre l'ús d'aquest document ni facilitar-ne còpies. La utilització i/o reproducció d'aquest document fora de l'àmbit municipal representa l'incompliment de la legislació vigent sobre propietat intel·lectual","Barcelona Activa, S.A.","","","Economia | Empreses | Economics | Business enterprises | Economía | Empresas","Economia","monografies","","Barcelona business tour","","text",
"","","Floriach, Toni | Col·legi d'Aparelladors i Arquitectes Tècnics de Barcelona | Sector de Serveis Urbans i Medi Ambient","Trujillo, Lara","Barcelona | Barcelona | Barcelona","","","2006","2006","","","Forma part de la col·lecció: Guies d'educació ambiental; 29","","","","","","","","application/pdf","64 p.","3020","","","","","","http://hdl.handle.net/11703/90449","cat","Ajuntament de Barcelona. Direcció de Programes Ambientals","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Habitatge | Arquitectura sostenible | Educació ambiental | Housing | Sustainable architecture | Environmental education | Vivienda | Arquitectura sostenible | Educación ambiental","Habitatge","monografies","","21 consells per tenir un habitatge sostenible","","text",
"","","Direcció d'Immigració","","Barcelona. Districte 8. Nou Barris | Barcelona. District 8. Nou Barris | Barcelona. Distrito 8. Nou Barrios","","","2009","2009","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","44 p.","3714","","","","","","http://hdl.handle.net/11703/90570","cat | fre","Ajuntament de Barcelona","http://hdl.handle.net/11703/90567 | http://hdl.handle.net/11703/90754 | http://hdl.handle.net/11703/90568 | http://hdl.handle.net/11703/90755 | http://hdl.handle.net/11703/90571 | http://hdl.handle.net/11703/90569","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Immigrants | Emigració i immigració | Immigrants | Emigration and immigration | Emigrantes | Emigración e inmigración","Societat i benestar","monografies","","Guia d'acollida de butxaca de Barcelona : Nou Barris [versió en català i francès]","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","2005","2005","","","","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","117 p.","4614","","","","","","http://hdl.handle.net/11703/90700","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Igualtat entre els sexes | Dones | Drets de les dones | Empresàries | Assetjament sexual | Gender equality | Women | Women's rights | Businesswomen | Sexual harassment | Igualdad de género | Mujeres | Derechos de las mujeres | Empresarias | Acoso sexual","Economia | Societat i benestar","monografies","Pla d'Igualtat a les Empreses de la Ciutat de Barcelona 2002-2005","Recull de bones pràctiques per a la gestió ètica i la igualtat d'oportunitats","","text",
"","","Agència Municipal de Serveis Associatius-Torre Jussana","Moral, Maite del | Hernández, Patrici","Barcelona | Barcelona | Barcelona","","","1998","1998","","","És una adaptació de la ""Guide pratique à l'usage des responsables d'associations. Procéde au diagnostic de votre association"", editada per la Préfecture de la Région Alsace, i elaborada per OGACA, l'Agence Conseil aux Entreprises Culturelles, de Strasbourg. | Forma part de la col·lecció: Útils pràctics. Barcelona associacions; 7","","","","","","","","application/pdf","46 p.","9308","","","","","","http://hdl.handle.net/11703/90989","cat","Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Associacions, institucions, etc. | Entitats sense ànim de lucre | Associations, institutions, etc. | Nonprofit organizations | Asociaciones, instituciones, etc. | Organizaciones no lucrativas","Societat i benestar","monografies","","Fem el diagnòstic de la nostra associació: punts forts, punts febles, necessitats de canvis: manual per a l'autodiagnòstic associatiu","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","","1979","1979","","","","","","","Digitalitzat per Artyplan per encàrrec del SEDAC","","","","application/pdf","190 p.","","","","","","","http://hdl.handle.net/11703/110865","cat","Ajuntament de Barcelona","","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca | http://creativecommons.org/licenses/by/4.0/deed.en | http://creativecommons.org/licenses/by/4.0/deed.es","Barcelona: Ajuntament de Barcelona","Escuts | Emblemes municipals | Història | Shields | Municipal emblems | History | Escudos | Emblemas municipales | Historia","Sector públic","monografies | documents digitalitzats","","L'escut de la ciutat de Barcelona","","text",
"","","Àrea d'Economia, Empresa i Ocupació | Live Barcelona (Projecte) | Fundació Fòrum Ambiental | Fundació Privada b-TEC Parc Barcelona Innovació Tecnològica | Agència Local d'Energia de Barcelona","","Barcelona | Barcelona | Barcelona","","","2012","2012","","","","","","","","","","","application/pdf","15 p.","18445","","","consorcis","","","http://hdl.handle.net/11703/91233","eng","Ajuntament de Barcelona. Àrea d'Economia Empresa i Ocupació","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Indústries energètiques | Mobilitat urbana | Medi ambient | Energy industries | Urban mobility | Environment | industria energética | Movilidad urbana | Medio ambiente","Medi ambient | Energia","monografies","","Energy, mobility and environmental sectors in Barcelona","","text",
"","","Ajuntament de Barcelona | Institut Cerdà","","Barcelona | Barcelona | Barcelona","","","2007-02","2007-02","","","","","","","","","","","application/pdf","53 p.","3403","","","","","","http://hdl.handle.net/11703/90494","cat","Institut Cerdà: Ajuntament de Barcelona","","","","","","","","","","","","","","","","","Tots els drets reservats","openAccess","","","","","Comerç | Hotels | Restaurants | Mercats | Alimentació | Commerce | Hotels | Restaurants | Markets | Diet | Comercio | Hoteles | Restaurantes | Mercados | Alimentación","Comerç","monografies","","Projecte HORECO 2010: tendències i incidències de l'evolució del canal HORECO","","text",
"","","Servei de Documentació d'Educació Ambiental (Barcelona) | Àrea d'Hàbitat Urbà","","Barcelona | Barcelona | Barcelona","","","2014-09","2014-09","","","Forma part de la col·lecció: Recull de Recursos","","","","","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","11 p.","BAB_18186","","","","","","http://hdl.handle.net/11703/91390","cat","Ajuntament de Barcelona. Hàbitat Urbà","","","","","","","","","","","","http://hdl.handle.net/11703/91265","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Circulació urbana | Transport urbà | Mobilitat urbana | Educació viària | Urban traffic | Urban transportation | Urban mobility | Traffic safety education | Circulación urbana | Transporte urbano | Movilidad urbana | Educación vial","Transport","monografies","","Mobilitat","","text",
"","","Ajuntament de Barcelona","","Barcelona | Barcelona | Barcelona","","No","1938-05-16","1938","","1938-05-16","Aprovat pel Comitè Permanent Municipal el 16-05-1938 | Podeu consultar la versió oficial publicada a la Gaseta Municipal de Barcelona a: http://hdl.handle.net/11703/106659","","","","Digitalitzat pel SEDAC","","","Drets revisats. Document amb responsabilitat exclusiva de l'Ajuntament o les seves dependències i entitats autònomes.","application/pdf","11 p.","7978","","","","","","http://hdl.handle.net/11703/96970","cat","Ajuntament de Barcelona","http://hdl.handle.net/11703/106659","","","","","","Reproducció digital del document en suport original","","","","","","","","","","CC-BY","openAccess","","Ajuntament de Barcelona","http://creativecommons.org/licenses/by/4.0/deed.ca","","Organització i organigrames | Política i govern | Organization and flowcharts | Politics and government | Organización y organigramas | Política y gobierno","Sector públic","reglaments | documents digitalitzats | monografies","","Reglament de règim interior de l'Ajuntament de Barcelona [1938]","","text",
