unit,age,sex,isced11,geo\time	2017 	2016 	2015 	2014 	2013 	2012 
NR,Y15,M,ED0,ME	0 	0 	0 	: 	: 	: 
NR,Y15,M,ED0,MK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,MT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,NL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,NO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,PL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,PT	0 	0 	0 e	0 	0 	: 
NR,Y15,M,ED0,RO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,RS	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,SE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,SI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,SK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,TR	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED0,UK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED1,AT	1 	2 	3 	1 	1 	: 
NR,Y15,M,ED1,BE	3 	7 	0 	1 	2 	: 
NR,Y15,M,ED1,BG	45 	63 	65 	69 	72 	: 
NR,Y15,M,ED1,CH	92 	88 	77 	9 	7 	: 
NR,Y15,M,ED1,CY	14 	19 	24 	35 	18 	: 
NR,Y15,M,ED1,CZ	19 	12 	12 	23 	42 	: 
NR,Y15,M,ED1,DE	0 	0 	0 	0 	0 	0 
NR,Y15,M,ED1,DK	20 	25 	51 	41 	52 	: 
NR,Y15,M,ED1,EE	18 	16 	12 	12 	10 	: 
NR,Y15,M,ED1,EL	117 	131 	180 	136 	140 	: 
NR,Y15,M,ED1,ES	2023 	1847 	1729 	1701 	1699 	: 
NR,Y15,M,ED1,EU28	: 	8987 	9258 	9330 	8890 	: 
NR,Y15,M,ED1,FI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED1,FR	3201 	3188 	3056 	3122 	2927 	: 
NR,Y15,M,ED1,HR	6 	4 	1 	3 	4 	: 
NR,Y15,M,ED1,HU	91 	77 	61 	74 	65 	: 
NR,Y15,M,ED1,IE	3 	4 	8 	14 	13 	: 
NR,Y15,M,ED1,IS	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED1,IT	689 	0 	361 	0 	0 	: 
NR,Y15,M,ED1,LI	0 	0 	0 	0 	1 	: 
NR,Y15,M,ED1,LT	5 	8 	12 	11 	8 	: 
NR,Y15,M,ED1,LU	0 	0 	0 	0 	1 	: 
NR,Y15,M,ED1,LV	61 	71 	111 	105 	128 	: 
NR,Y15,M,ED1,ME	5 	12 	0 	: 	: 	: 
NR,Y15,M,ED1,MK	37 	3 	8 	37 	30 	: 
NR,Y15,M,ED1,MT	0 	1 	2 	2 	2 	: 
NR,Y15,M,ED1,NL	0 	0 	9 	12 	152 	: 
NR,Y15,M,ED1,NO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED1,PL	1331 	1315 	1373 	1491 	1521 	: 
NR,Y15,M,ED1,PT	1211 	1708 	1884 	2078 	1785 	: 
NR,Y15,M,ED1,RO	111 	126 	0 	137 	0 	: 
NR,Y15,M,ED1,RS	33 	34 	46 	53 	43 	: 
NR,Y15,M,ED1,SE	8 	13 	12 	0 	0 	: 
NR,Y15,M,ED1,SI	30 	24 	9 	8 	6 	: 
NR,Y15,M,ED1,SK	271 	326 	283 	254 	242 	: 
NR,Y15,M,ED1,TR	: d	: d	: 	8060 e	8402 e	: 
NR,Y15,M,ED1,UK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED2,AT	4612 	4354 	4220 	4121 	4194 	: 
NR,Y15,M,ED2,BE	7701 	8194 	7864 	7861 	8807 	: 
NR,Y15,M,ED2,BG	3199 	3514 	3449 	2847 	2975 	: 
NR,Y15,M,ED2,CH	29613 	31616 	31308 	31958 	32500 	: 
NR,Y15,M,ED2,CY	466 	446 	498 	462 	475 	: 
NR,Y15,M,ED2,CZ	27588 	27776 	27443 	28107 	27647 	: 
NR,Y15,M,ED2,DE	322549 	329526 	327339 	335932 	344755 	344916 
NR,Y15,M,ED2,DK	33922 	34696 	34183 	34354 	35123 	: 
NR,Y15,M,ED2,EE	6013 	6204 	5809 	5719 	5467 	: 
NR,Y15,M,ED2,EL	5889 	5622 	5795 	5766 	6525 	: 
NR,Y15,M,ED2,ES	79386 	82115 	83313 	82818 	85423 	: 
NR,Y15,M,ED2,EU28	: 	: 	1081316 	1103202 	1133908 	: 
NR,Y15,M,ED2,FI	29325 	29608 	29540 	29213 	30072 	: 
NR,Y15,M,ED2,FR	102295 	114116 	117986 	123191 	130562 	: 
NR,Y15,M,ED2,HR	1153 	1202 	1341 	1245 	1525 	: 
NR,Y15,M,ED2,HU	7787 	7812 	7507 	7771 	8619 	: 
NR,Y15,M,ED2,IE	22041 	21166 	20950 	21092 	20383 	: 
NR,Y15,M,ED2,IS	2139 	2200 	2062 	2176 	2207 	: 
NR,Y15,M,ED2,IT	10217 	10625 	11569 	12843 	14397 	: 
NR,Y15,M,ED2,LI	149 	150 	133 	143 	172 	: 
NR,Y15,M,ED2,LT	13965 	15449 	16536 	17126 	17534 	: 
NR,Y15,M,ED2,LU	1445 	1511 	1396 	1416 	1546 	: 
NR,Y15,M,ED2,LV	8354 	8778 	8389 	8004 	8298 	: 
NR,Y15,M,ED2,ME	365 	321 	0 	: 	: 	: 
NR,Y15,M,ED2,MK	418 	201 	936 	323 	391 	: 
NR,Y15,M,ED2,MT	10 	15 	25 	19 	23 	: 
NR,Y15,M,ED2,NL	77529 	79408 	78088 	77602 	74999 	: 
NR,Y15,M,ED2,NO	32020 	32859 	32802 	32176 	33105 	: 
NR,Y15,M,ED2,PL	174933 	180209 	182150 	189055 	197891 	: 
NR,Y15,M,ED2,PT	21654 	23367 	24096 	24495 	25304 	: 
NR,Y15,M,ED2,RO	14336 	15498 	14707 	14602 	13968 	: 
NR,Y15,M,ED2,RS	1227 	1026 	1059 	1694 	2705 	: 
NR,Y15,M,ED2,SE	56442 	53927 	50178 	50143 	49999 	: 
NR,Y15,M,ED2,SI	1007 	900 	725 	696 	671 	: 
NR,Y15,M,ED2,SK	13911 	14421 	14887 	15230 	14623 	: 
NR,Y15,M,ED2,TR	18317 	23698 	25549 	39116 	39517 	: 
NR,Y15,M,ED2,UK	4267 	: 	1333 	1472 	2103 	: 
NR,Y15,M,ED3,AT	35978 	37335 	36850 	38365 	39351 	: 
NR,Y15,M,ED3,BE	55347 	55177 	53796 	54300 	54651 	: 
NR,Y15,M,ED3,BG	25187 	27350 	28024 	26019 	25190 	: 
NR,Y15,M,ED3,CH	11612 	11556 	11114 	10803 	10532 	: 
NR,Y15,M,ED3,CY	4061 	4225 	4215 	4369 	4408 	: 
NR,Y15,M,ED3,CZ	19035 	19278 	18084 	18200 	18867 	: 
NR,Y15,M,ED3,DE	70638 	71752 	72152 	69900 	68624 	63295 
NR,Y15,M,ED3,DK	212 	182 	174 	193 	185 	: 
NR,Y15,M,ED3,EE	64 	82 	70 	67 	672 	: 
NR,Y15,M,ED3,EL	46159 	46800 	45094 	45725 	46954 	: 
NR,Y15,M,ED3,ES	143283 	141437 	133741 	127474 	127911 	: 
NR,Y15,M,ED3,EU28	: 	1600805 	1567849 	1555459 	1550106 	: 
NR,Y15,M,ED3,FI	100 	114 	89 	96 	138 	: 
NR,Y15,M,ED3,FR	316986 	310001 	288767 	275746 	263676 	: 
NR,Y15,M,ED3,HR	19628 	20867 	21386 	22986 	23829 	: 
NR,Y15,M,ED3,HU	41249 	40763 	39859 	40951 	42402 	: 
NR,Y15,M,ED3,IE	10581 	10490 	10707 	10546 	10286 	: 
NR,Y15,M,ED3,IS	17 	25 	22 	24 	21 	: 
NR,Y15,M,ED3,IT	278780 	282344 	276582 	276585 	273412 	: 
NR,Y15,M,ED3,LI	61 	52 	51 	41 	61 	: 
NR,Y15,M,ED3,LT	4 	3 	11 	12 	8 	: 
NR,Y15,M,ED3,LU	1568 	1658 	1642 	1588 	1678 	: 
NR,Y15,M,ED3,LV	436 	289 	337 	380 	342 	: 
NR,Y15,M,ED3,ME	3670 	3734 	4085 d	: 	: 	: 
NR,Y15,M,ED3,MK	: 	: 	: d	: d	11181 	: 
NR,Y15,M,ED3,MT	2092 	2161 	2200 	2336 	2521 	: 
NR,Y15,M,ED3,NL	27048 	26629 	25479 	24567 	23539 	: 
NR,Y15,M,ED3,NO	102 	127 	118 	131 	121 	: 
NR,Y15,M,ED3,PL	1703 	1582 	1697 	1458 	1203 	: 
NR,Y15,M,ED3,PT	32141 	33664 	31946 	30252 	29944 	: 
NR,Y15,M,ED3,RO	75317 	79779 	80586 	83668 	82942 	: 
NR,Y15,M,ED3,RS	33659 	32597 	32820 	33162 	35921 	: 
NR,Y15,M,ED3,SE	722 	718 	711 	710 	755 	: 
NR,Y15,M,ED3,SI	8183 	8647 	8351 	8625 	8600 	: 
NR,Y15,M,ED3,SK	11905 	12905 	12876 	13143 	14556 	: 
NR,Y15,M,ED3,TR	608905 	590038 	593676 	583746 	552318 	: 
NR,Y15,M,ED3,UK	356664 	364573 	372423 	377198 	383462 	: 
NR,Y15,M,ED4,AT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,BE	3 	8 	1 	2 	2 	: 
NR,Y15,M,ED4,BG	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,CH	34 	29 	32 	34 	31 	: 
NR,Y15,M,ED4,CY	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,CZ	: d	: d	: d	: d	0 	: 
NR,Y15,M,ED4,DE	348 	260 	171 	84 	74 	20 
NR,Y15,M,ED4,DK	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED4,EE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,EL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,ES	0 	0 	0 	0 d	: 	: 
NR,Y15,M,ED4,EU28	: 	334 	362 	202 	: 	: 
NR,Y15,M,ED4,FI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,FR	0 	1 	1 	3 	0 	: 
NR,Y15,M,ED4,HR	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED4,HU	47 	1 	123 	76 	43 	: 
NR,Y15,M,ED4,IE	1 	64 	66 	37 	17 	: 
NR,Y15,M,ED4,IS	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,IT	: 	0 	0 	0 	: z	: 
NR,Y15,M,ED4,LI	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED4,LT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,LU	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,LV	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,ME	: z	: z	: 	: 	: 	: 
NR,Y15,M,ED4,MK	0 	0 	0 	0 	: d	: 
NR,Y15,M,ED4,MT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,NL	: z	: z	: z	0 	0 	: 
NR,Y15,M,ED4,NO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,PL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,PT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,RO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,RS	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,SE	0 	0 	0 	0 	2 	: 
NR,Y15,M,ED4,SI	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED4,SK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED4,TR	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED4,UK	: zd	: z	: z	: z	: z	: 
NR,Y15,M,ED5,AT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,BE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,BG	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED5,CH	0 	0 	3 	0 	0 	: 
NR,Y15,M,ED5,CY	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,CZ	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,DE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,DK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,EE	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED5,EL	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED5,ES	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,EU28	: 	119 	69 	25 	92 	: 
NR,Y15,M,ED5,FI	: z	: z	: z	0 	0 	: 
NR,Y15,M,ED5,FR	3 	2 	14 	6 	1 	: 
NR,Y15,M,ED5,HR	0 	0 	0 	0 	: d	: 
NR,Y15,M,ED5,HU	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,IE	0 	0 	0 	0 	: 	: 
NR,Y15,M,ED5,IS	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,IT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,LI	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED5,LT	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED5,LU	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,LV	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,ME	: z	: z	: 	: 	: 	: 
NR,Y15,M,ED5,MK	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED5,MT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,NL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,NO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,PL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,PT	0 	0 	0 	: z	: z	: 
NR,Y15,M,ED5,RO	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED5,RS	: z	: z	: z	: z	: z	: 
NR,Y15,M,ED5,SE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,SI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,SK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED5,TR	21 	7 	35 	26 	0 	: 
NR,Y15,M,ED5,UK	33 d	117 	55 	19 	91 	: 
NR,Y15,M,ED6,AT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,BE	6 	6 	1 	6 	81 	: 
NR,Y15,M,ED6,BG	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,CH	0 	0 	2 	1 	1 	: 
NR,Y15,M,ED6,CY	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,CZ	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,DE	14 	13 	46 	8 	6 	0 
NR,Y15,M,ED6,DK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,EE	0 	0 	1 	0 	0 	: 
NR,Y15,M,ED6,EL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,ES	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,EU28	: 	45 	76 	59 	138 	: 
NR,Y15,M,ED6,FI	0 	0 	1 	0 	0 	: 
NR,Y15,M,ED6,FR	14 	11 	11 	24 	17 	: 
NR,Y15,M,ED6,HR	0 	0 	0 	0 	0 d	: 
NR,Y15,M,ED6,HU	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,IE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,IS	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,IT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,LI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,LT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,LU	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,LV	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,MK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,MT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,NL	3 	2 	1 	3 	1 	: 
NR,Y15,M,ED6,NO	3 	0 	0 	0 	1 	: 
NR,Y15,M,ED6,PL	7 d	0 d	0 d	0 	0 	: 
NR,Y15,M,ED6,PT	0 	0 	0 	0 	1 	: 
NR,Y15,M,ED6,RO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,RS	0 	0 	72 	0 	0 	: 
NR,Y15,M,ED6,SE	0 	0 	5 	3 	2 	: 
NR,Y15,M,ED6,SI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED6,SK	0 	0 	0 d	0 	0 d	: 
NR,Y15,M,ED6,TR	16 	27 	36 	68 	0 	: 
NR,Y15,M,ED6,UK	12 	13 	10 	15 	30 	: 
NR,Y15,M,ED7,AT	0 	0 	0 	0 	1 	: 
NR,Y15,M,ED7,BE	0 	0 	0 	0 	10 	: 
NR,Y15,M,ED7,BG	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,CH	0 	1 	0 	0 	0 	: 
NR,Y15,M,ED7,CY	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,CZ	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,DE	4 	8 	8 	8 	4 	: 
NR,Y15,M,ED7,DK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,EE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,EL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,ES	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,EU28	: 	8 	11 	10 	16 	: 
NR,Y15,M,ED7,FI	0 	0 	1 	0 	0 	: 
NR,Y15,M,ED7,FR	0 	0 	1 	0 	0 	: 
NR,Y15,M,ED7,HR	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,HU	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,IE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,IS	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,IT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,LI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,LT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,LU	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,LV	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,MK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,MT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,NL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,NO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,PL	0 d	0 d	0 d	0 	0 	: 
NR,Y15,M,ED7,PT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,RO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,RS	0 	0 	5 	0 	0 	: 
NR,Y15,M,ED7,SE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED7,SI	0 d	0 	0 	0 	0 d	: 
NR,Y15,M,ED7,SK	0 	0 	: d	: d	: d	: 
NR,Y15,M,ED7,TR	0 	1 	1 	0 	0 	: 
NR,Y15,M,ED7,UK	0 	0 	1 	2 	2 	: 
NR,Y15,M,ED8,AT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,BE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,BG	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,CH	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,CY	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,CZ	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,DE	0 d	0 d	0 	0 	0 	0 
NR,Y15,M,ED8,DK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,EE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,EL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,ES	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,EU28	: 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,FI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,FR	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,HR	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,HU	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,IE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,IS	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,IT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,LI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,LT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,LU	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,LV	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,MK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,MT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,NL	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,NO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,PL	0 d	0 d	0 	0 	0 	: 
NR,Y15,M,ED8,PT	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,RO	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,RS	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,SE	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,SI	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,SK	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,TR	0 	0 	0 	0 	0 	: 
NR,Y15,M,ED8,UK	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,AT	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,BE	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,BG	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,CH	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,CY	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,CZ	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,DE	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,DK	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,EE	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,EL	0 	0 	0 	0 	3 	: 
NR,Y15,T,ED0,ES	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,EU28	: 	1437 	1180 	1287 	1340 	: 
NR,Y15,T,ED0,FI	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,FR	1469 	1437 	1180 	1287 	1337 	: 
NR,Y15,T,ED0,HR	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,HU	0 	0 	0 	0 	: 	: 
NR,Y15,T,ED0,IE	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,IS	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,IT	0 	0 	0 	0 	: z	: 
NR,Y15,T,ED0,LI	: 	0 	: 	: 	: 	: 
NR,Y15,T,ED0,LT	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,LU	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,LV	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,ME	0 	0 	0 	: 	: 	: 
NR,Y15,T,ED0,MK	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,MT	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,NL	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,NO	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,PL	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,PT	0 	0 	0 e	0 	0 	: 
NR,Y15,T,ED0,RO	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,RS	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,SE	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,SI	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,SK	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,TR	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED0,UK	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED1,AT	1 	2 	3 	2 	3 	: 
NR,Y15,T,ED1,BE	4 	9 	2 	3 	3 	: 
NR,Y15,T,ED1,BG	76 	106 	120 	127 	129 	: 
NR,Y15,T,ED1,CH	139 	150 	109 	14 	14 	: 
NR,Y15,T,ED1,CY	23 	23 	38 	43 	28 	: 
NR,Y15,T,ED1,CZ	34 	22 	20 	34 	66 	: 
NR,Y15,T,ED1,DE	0 	0 	0 	0 	0 	0 
NR,Y15,T,ED1,DK	36 	41 	81 	76 	97 	: 
NR,Y15,T,ED1,EE	21 	23 	16 	15 	11 	: 
NR,Y15,T,ED1,EL	240 	230 	341 	261 	256 	: 
NR,Y15,T,ED1,ES	3231 	2910 	2741 	2693 	2729 	: 
NR,Y15,T,ED1,EU28	: 	13761 	14133 	14250 	13706 	: 
NR,Y15,T,ED1,FI	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED1,FR	4871 	4749 	4565 	4635 	4445 	: 
NR,Y15,T,ED1,HR	7 	5 	7 	7 	9 	: 
NR,Y15,T,ED1,HU	135 	131 	96 	121 	104 	: 
NR,Y15,T,ED1,IE	3 	9 	12 	18 	18 	: 
NR,Y15,T,ED1,IS	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED1,IT	807 	0 	524 	0 	0 	: 
NR,Y15,T,ED1,LI	1 	0 	0 	0 	1 	: 
NR,Y15,T,ED1,LT	10 	17 	16 	19 	16 	: 
NR,Y15,T,ED1,LU	0 	0 	0 	0 	1 	: 
NR,Y15,T,ED1,LV	95 	111 	142 	151 	187 	: 
NR,Y15,T,ED1,ME	13 	17 	0 	: 	: 	: 
NR,Y15,T,ED1,MK	65 	3 	11 	77 	58 	: 
NR,Y15,T,ED1,MT	0 	2 	3 	6 	3 	: 
NR,Y15,T,ED1,NL	0 	1 	15 	18 	246 	: 
NR,Y15,T,ED1,NO	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED1,PL	1978 	1932 	2014 	2173 	2253 	: 
NR,Y15,T,ED1,PT	1885 	2570 	2827 	3135 	2684 	: 
NR,Y15,T,ED1,RO	176 	214 	0 	226 	0 	: 
NR,Y15,T,ED1,RS	49 	54 	59 	76 	61 	: 
NR,Y15,T,ED1,SE	19 	22 	16 	0 	0 	: 
NR,Y15,T,ED1,SI	47 	40 	21 	16 	10 	: 
NR,Y15,T,ED1,SK	486 	592 	513 	471 	408 	: 
NR,Y15,T,ED1,TR	: d	: d	: 	17774 e	18628 e	: 
NR,Y15,T,ED1,UK	0 	0 	0 	0 	0 	: 
NR,Y15,T,ED2,AT	7641 	7315 	6981 	7001 	7025 	: 
NR,Y15,T,ED2,BE	12802 	13760 	13390 	13573 	15389 	: 
NR,Y15,T,ED2,BG	5208 	5715 	5869 	4597 	4749 	: 
NR,Y15,T,ED2,CH	55834 	59413 	59123 	60605 	61877 	: 
NR,Y15,T,ED2,CY	801 	802 	853 	776 	837 	: 
NR,Y15,T,ED2,CZ	48587 	48609 	48237 	49378 	48894 	: 
NR,Y15,T,ED2,DE	604169 	622050 	619389 	638715 	657521 	660232 
NR,Y15,T,ED2,DK	66173 	67652 	66762 	66770 	68191 	: 
NR,Y15,T,ED2,EE	11566 	11856 	11295 	11054 	10249 	: 
NR,Y15,T,ED2,EL	9187 	8993 	9264 	9322 	10375 	: 
NR,Y15,T,ED2,ES	136757 	141291 	144699 	143562 	149895 	: 
NR,Y15,T,ED2,EU28	: 	: 	2003614 	2045494 	2107337 	: 
NR,Y15,T,ED2,FI	57293 	57448 	57792 	57109 	59056 	: 
NR,Y15,T,ED2,FR	173202 	193927 	202106 	211483 	224901 	: 
NR,Y15,T,ED2,HR	1857 	1953 	2272 	2091 	2641 	: 
